id,name,marks
0,Donni Pook,74
1,Brod Joul,86
2,Virge Tedman,64
3,Crawford Mulder,98
4,Robert Cowterd,66
5,Ozzy Joul,70
6,Lea Roll,45
7,Kath Nuzzi,96
8,Carleen Twelftree,52
9,Randal Blincowe,98
10,Land Jessope,82
11,Phylis Misk,84
12,Winne Jandourek,61
13,Virge Parkey,18
14,Devinne McGerr,86
15,Kev Melmeth,86
16,Marla McQuaker,100
17,Krystal Dispencer,27
18,Phylis Worsham,64
19,Phyllys Bernth,55
20,Johann Rabley,39
21,Tomasine Ronnay,24
22,Amy Benet,88
23,Mahala Cowterd,37
24,Dannel Kennally,78
25,Lyndy Clooney,89
26,Shaylyn Terne,49
27,Shandee Cullotey,89
28,Wernher Misk,84
29,Odella Normaville,3
30,Arel Chesswas,76
31,Fred Colcomb,46
32,Edgar Beal,9
33,Cherida Scates,89
34,Marijn Greenstock,94
35,Tomasine Gianasi,38
36,Crawford Latty,86
37,Ettore Rickhuss,95
38,Alleen Roycraft,52
39,Murial Dispencer,28
40,Everett Haynesford,50
41,Lemar Betteriss,27
42,Ursola Bolsover,67
43,Gal Checo,69
44,Tanhya Keady,57
45,Anjanette Reedman,88
46,Paola Bench,47
47,Berrie Coupe,72
48,Roland Row,23
49,Moina Schober,93
50,Demetris Twelftree,2
51,Allister Trunby,20
52,Dniren Staines,99
53,Damon Chesswas,62
54,Janith Rickhuss,14
55,Barr Rimour,72
56,Clara Syms,17
57,Kettie Boothebie,56
58,Cynthea Clooney,66
59,Nicko Parkey,22
60,Rahal Rivitt,24
61,Lauren Niche,49
62,Ainslee Mongain,8
63,Theresina Morey,58
64,Horton Barnaclough,86
65,Jarrid Toffler,56
66,Susy Twelftree,70
67,Shaylyn Rustidge,63
68,Nichole Fley,30
69,Linzy Folkerd,4
70,Amy Braban,64
71,Everett Ca,86
72,Marla Divver,86
73,Demetris Karolowski,87
74,Marquita Jandourek,45
75,Murial Barrabeale,78
76,Lorrin Guiton,58
77,Cecil Terne,24
78,Ogdon Devitt,34
79,Melly Bickerstaff,37
80,Janith Braban,69
81,Dannel MacGinlay,81
82,Hersch Staines,5
83,Claudell Ronnay,0
84,Lauretta Grouer,84
85,Kettie Cogdon,7
86,Petronilla Fifoot,57
87,Nevins Roskrug,57
88,Florie Braban,24
89,Russell Schieferstein,18
90,Nissy Hainey,93
91,Meade Matley,15
92,Grata Biernat,83
93,Alexandra Pohlak,92
94,Tessie Hiskey,70
95,Barn Blanckley,78
96,Murial McCerery,56
97,Leonerd Ronnay,99
98,Melly Cleghorn,25
99,Stanfield Lilford,85
100,Alina Ferguson,18
101,Giulia McIlheran,53
102,Viva Terne,5
103,Concordia Mathissen,36
104,Sydel Kenafaque,71
105,Alleen Kenderdine,41
106,Weidar Saer,97
107,Alexis Pook,77
108,Virginia Matula,32
109,Gal Divver,80
110,Edgar Rabley,7
